Ladies Micro-Lite Bodywarmer;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;TDMLBWS;;;716;716;716;716;742;742;;;;
Olive;OMLBWS;;;699;699;699;699;725;725;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Ladies Active Zipper;Code;Image;ColourImage;S;M;L;;;;;;;
3D;TDLAZ;;;;;;;;;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Spandex Vest;Code;Image;ColourImage;S;M;L;;;;;;;
Shadows;SLV;;;;;;;;;;;;
3D;TDVL;;;;;;;;;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Capri Leggings;Code;Image;ColourImage;S;M;L;;;;;;;
Shadows;SLCL;;;;;;;;;;;;
3D;TDCL;;;;;;;;;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Spandex Leggings;Code;Image;ColourImage;SS;S;M;L;XL;2XL;3XL;;;
Shadows;SL;;;311;311;311;311;311;311;311;;;
3D;TDL;;;311;311;311;311;311;311;311;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Bad Day;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
Ox-Blood;LBDX19;;;182;182;182;182;182;182;;;;
Pink;LBDP19;;;182;182;182;182;182;182;;;;
Denim;LBDD19;;;182;182;182;182;182;182;;;;
Black;LBDB19;;;182;182;182;182;182;182;;;;
Peach;LBPC19;;;182;182;182;182;182;182;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Bokkie;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
Putty;LBPT19;;;182;182;182;182;182;182;;;;
Olive;LBO19;;;182;182;182;182;182;182;;;;
Black;LBB19;;;182;182;182;182;182;182;;;;
Pink;LBP19;;;182;182;182;182;182;182;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Biltong;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
Peach;LBPCA19;;;182;182;182;182;182;182;;;;
Lilac;LBLA19;;;182;182;182;182;182;182;;;;
Pink;LBP19;;;182;182;182;182;182;182;;;;
Black;LBBA19;;;182;182;182;182;182;182;;;;
Putty;LBPTA19;;;182;182;182;182;182;182;;;;
Olive;LBOA19;;;182;182;182;182;182;182;;;;
Denim;LBDA19;;;182;182;182;182;182;182;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Floral;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
Lilac;LFL19;;;182;182;182;182;182;182;;;;
Peach;LFPC19;;;182;182;182;182;182;182;;;;
Pink;LFP19;;;182;182;182;182;182;182;;;;
Black;LFB19;;;182;182;182;182;182;182;;;;
Putty;LFPT19;;;182;182;182;182;182;182;;;;
Olive;LFO19;;;182;182;182;182;182;182;;;;
Denim;LFD19;;;182;182;182;182;182;182;;;;
Khaki;LFK19;;;182;182;182;182;182;182;;;;
TAGS;L;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Youth Parka Jacket;Code;Image;ColourImage;11_12;13_14;15_16;;;;;;;
3D;TDYPJ;;;699;699;699;;;;;;;
TAGS;-;Y;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Youth 5 Pocket Jeans;Code;Image;ColourImage;11_12;13_14;15_16;;;;;;;
3D;TDYFPJ;;;389;389;389;;;;;;;
TAGS;-;Y;-;-;-;;;;;;;;
